,Unnamed: 0,carat,cut,color,clarity,depth,table,price,volumen
9231,9231,1.02,1,2,6,64.3,54.0,4558,160.48691999999997
9233,9233,1.14,4,6,4,63.0,57.0,4558,186.8496
9234,9234,1.01,1,3,6,63.3,58.0,4559,164.70272
9236,9236,1.01,3,3,6,59.8,60.0,4559,164.350944
9238,9238,1.01,1,3,6,63.4,58.0,4559,163.010276
9239,9239,1.01,3,3,6,61.2,58.0,4559,164.328295
9240,9240,1.01,1,3,6,60.3,64.0,4559,166.80885
9241,9241,1.01,4,3,6,62.4,53.0,4559,166.98034799999996
9242,9242,1.21,1,0,4,60.4,56.0,4559,197.18899199999998
9243,9243,1.01,3,3,5,61.9,62.0,4559,163.113405
9244,9244,1.01,4,4,6,63.0,57.0,4559,162.455526
9246,9246,1.01,3,3,5,62.9,60.0,4559,155.52177
9247,9247,1.35,4,6,7,62.5,57.0,4560,216.64825599999998
9248,9248,1.07,3,4,4,61.8,59.0,4560,173.75350500000002
9251,9251,1.01,4,6,4,61.6,54.0,4560,163.46880000000002
9252,9252,1.05,1,2,4,60.0,63.0,4560,173.717672
9253,9253,1.03,3,2,4,61.8,60.0,4560,164.80782
9254,9254,1.16,4,1,4,62.6,56.0,4560,188.81688000000003
9255,9255,0.97,3,4,6,62.7,59.0,4561,156.52586
9259,9259,1.05,4,6,4,62.3,56.0,4561,175.03852799999999
9260,9260,0.92,4,2,6,62.2,56.0,4561,151.951569
9262,9262,1.01,0,4,6,65.9,60.0,4561,157.72062499999998
9263,9263,0.92,3,5,6,62.2,58.0,4562,148.615404
9264,9264,0.92,3,5,6,59.8,59.0,4562,153.22397999999998
9266,9266,0.9,3,5,5,63.0,57.0,4562,143.72242500000002
9267,9267,0.9,3,5,5,60.6,53.0,4562,150.49881
9268,9268,1.22,3,1,5,61.6,59.0,4562,196.676886
9270,9270,1.06,4,3,4,60.9,56.0,4563,175.37410799999998
9271,9271,1.01,1,5,6,64.5,56.0,4563,158.568384
9272,9272,1.07,4,5,4,61.6,55.0,4564,177.557006
9276,9276,1.08,4,3,4,61.2,57.4,4564,175.978764
9277,9277,1.0,4,3,6,61.4,57.0,4564,157.50462000000002
9279,9279,1.09,4,0,6,61.4,55.0,4565,179.881896
9280,9280,1.04,0,5,4,67.5,56.0,4566,164.83995199999998
9282,9282,1.04,4,6,4,60.4,58.0,4566,172.84025599999998
9283,9283,1.01,1,5,4,60.2,60.0,4566,157.44729
9284,9284,0.91,1,3,3,57.8,61.0,4566,150.19776000000002
9285,9285,1.04,3,5,4,59.2,58.0,4566,175.7276
9286,9286,0.92,4,3,5,62.2,55.0,4568,151.07439599999998
9287,9287,1.06,4,4,4,60.7,57.0,4568,173.7108
9288,9288,1.0,1,3,6,61.5,64.0,4568,160.720494
9289,9289,1.0,1,3,5,62.7,54.0,4569,155.632364
9290,9290,1.12,3,4,4,60.5,59.0,4570,186.89950299999998
9293,9293,1.45,0,0,4,58.6,68.0,4570,237.00089
9294,9294,0.91,3,6,3,62.5,61.0,4570,142.59487
9295,9295,1.02,3,4,4,62.5,57.0,4570,167.656463
9296,9296,1.06,3,6,4,61.5,58.0,4571,174.38255999999998
9297,9297,1.06,3,6,4,61.9,60.0,4571,172.005424
9298,9298,1.12,3,3,6,62.0,56.0,4572,182.079723
9299,9299,1.15,4,3,4,62.6,55.0,4572,187.79999000000004
9300,9300,1.0,1,5,6,63.9,57.0,4573,161.62181599999997
9301,9301,1.32,1,0,6,63.5,57.0,4573,214.41862
9303,9303,1.07,3,4,4,62.4,57.0,4573,175.736666
9305,9305,1.01,1,3,6,62.9,55.0,4574,163.22103499999997
9306,9306,1.21,3,0,6,59.7,60.0,4574,197.48421
9307,9307,0.94,4,2,6,62.3,57.0,4575,153.07344
9311,9311,1.02,4,4,4,61.4,56.0,4578,167.3789
9312,9312,1.06,4,6,4,61.0,57.0,4578,174.31363199999998
9313,9313,1.11,4,3,4,62.7,57.0,4578,181.702116
9314,9314,1.11,4,3,4,62.0,54.0,4578,180.389544
9315,9315,1.11,4,3,4,61.3,55.0,4578,183.49345000000002
9316,9316,1.11,3,3,4,61.6,60.0,4578,180.04997999999998
9317,9317,1.09,3,3,4,61.7,60.0,4578,175.78297799999999
9318,9318,1.09,3,3,4,62.1,55.0,4578,178.86414
9319,9319,1.01,3,3,6,60.5,58.0,4578,160.825437
9321,9321,0.9,4,2,6,62.5,57.0,4579,146.08440000000002
9322,9322,1.18,3,1,4,60.8,58.0,4579,191.993328
9323,9323,1.03,3,4,6,60.9,60.0,4579,166.11329999999998
9324,9324,0.9,3,6,3,62.7,58.0,4579,142.74027
9325,9325,1.0,3,5,4,62.7,58.0,4579,162.5576
9327,9327,1.27,3,0,5,62.2,58.0,4580,200.94278399999996
9331,9331,0.9,1,5,5,63.1,58.0,4580,145.42105500000002
9335,9335,1.0,4,3,4,62.0,55.0,4580,163.529046
9338,9338,0.94,3,5,6,62.4,56.0,4580,152.58671999999999
9339,9339,1.11,3,5,4,62.5,58.0,4581,181.432602
9341,9341,1.0,1,1,3,63.9,56.0,4581,157.860066
9342,9342,1.03,4,6,4,61.8,55.0,4582,168.638946
9343,9343,1.03,1,0,3,60.1,62.4,4582,161.91511599999998
9345,9345,1.02,3,2,4,59.3,60.0,4583,165.95225599999998
9349,9349,0.9,4,3,5,59.9,57.0,4584,149.155149
9350,9350,1.13,4,3,4,62.5,57.0,4584,187.07882599999996
9351,9351,1.01,4,1,6,62.4,56.0,4584,162.00192000000004
9352,9352,1.07,3,6,4,62.1,59.0,4584,171.211968
9353,9353,1.03,4,3,6,59.7,55.0,4585,173.1048
9354,9354,1.02,4,5,4,62.7,57.0,4585,163.98494
9355,9355,1.09,4,6,4,61.2,57.0,4586,180.253788
9356,9356,1.09,4,6,4,62.1,56.0,4586,180.824328
9358,9358,1.0,1,4,6,63.6,62.0,4586,156.85488
9359,9359,0.32,4,2,6,61.3,55.0,589,52.39026
9361,9361,0.32,3,2,6,61.5,59.0,589,52.58429799999999
9362,9362,0.32,4,2,6,61.3,57.0,589,51.84087300000001
9363,9363,0.32,4,2,6,61.4,57.0,589,52.823862
9364,9364,0.32,1,2,6,63.1,57.0,589,52.828056
9365,9365,0.32,1,2,6,63.1,56.0,589,52.2753
9366,9366,0.32,1,2,6,63.7,55.0,589,52.967339999999986
9367,9367,0.32,4,2,6,62.7,54.0,589,52.877
9370,9370,0.32,3,2,6,61.3,60.0,589,52.943373
9371,9371,0.32,3,2,6,60.8,58.0,589,52.671276
9372,9372,0.32,4,2,6,61.9,57.0,589,51.98864000000001
9373,9373,0.32,4,1,1,62.5,55.0,589,52.684720000000006
9374,9374,0.32,3,2,6,60.2,58.0,589,51.84872000000001
9375,9375,0.32,3,2,6,60.4,58.0,589,53.387892
9377,9377,0.32,4,2,6,62.0,57.0,589,52.851708
9378,9378,0.32,4,1,1,61.7,55.0,589,52.34636
9379,9379,0.36,3,6,5,62.5,58.0,589,58.073015
9380,9380,0.32,1,2,6,63.5,55.0,589,51.55837499999999
9381,9381,0.32,4,2,6,62.0,55.0,589,53.522886
9383,9383,0.32,4,2,6,61.5,56.0,589,52.58429799999999
9384,9384,0.32,1,2,6,63.6,56.0,589,52.53526600000001
9385,9385,0.32,1,2,6,63.3,57.0,589,53.019462
9386,9386,0.32,1,2,6,63.8,56.0,589,52.174335
9387,9387,0.32,4,2,6,62.5,54.0,589,53.239725
9388,9388,0.32,1,2,6,63.2,54.0,589,52.707168
9389,9389,1.0,3,4,6,61.4,60.0,4586,158.40583
9390,9390,0.9,3,2,5,63.0,62.0,4586,142.647552
9391,9391,1.17,1,1,6,60.0,64.0,4586,194.44463600000003
9392,9392,1.0,1,4,6,64.1,60.0,4586,154.363125
9393,9393,1.0,0,4,6,64.8,58.0,4586,157.053384
9394,9394,1.03,4,4,4,60.5,58.0,4586,167.48743000000002
9395,9395,1.26,3,3,4,62.0,56.0,4586,203.769088
9397,9397,1.03,3,4,4,60.7,60.0,4586,166.20653599999997
9398,9398,1.03,3,4,4,61.4,57.0,4586,173.68494
9399,9399,1.05,4,3,4,61.9,56.0,4586,172.000576
9400,9400,1.03,3,4,4,62.4,59.0,4586,164.604
9401,9401,1.0,1,4,6,63.8,58.0,4586,155.855784
9402,9402,1.0,3,4,6,62.2,58.0,4586,160.68293999999997
9404,9404,1.03,3,4,4,61.6,58.0,4586,164.905066
9405,9405,1.0,3,4,6,62.9,57.0,4586,160.63101600000002
9406,9406,0.92,4,1,3,62.3,55.0,4587,152.83008
9407,9407,0.92,4,3,6,61.6,56.0,4587,149.04
9412,9412,1.01,1,2,4,63.9,57.0,4588,161.61777600000002
9413,9413,1.01,1,6,6,63.6,57.0,4588,162.901284
9416,9416,1.01,3,6,6,62.5,60.0,4588,161.240148
9417,9417,1.01,1,6,6,63.5,60.0,4588,159.91478999999998
9419,9419,1.01,1,6,6,63.4,58.0,4588,159.0096
9421,9421,1.01,1,6,6,63.9,57.0,4588,162.53055
9422,9422,1.01,4,6,6,61.8,57.0,4588,164.806228
9425,9425,1.28,3,3,4,62.4,56.0,4588,208.421122
9428,9428,1.05,4,4,4,60.9,56.0,4591,175.10476799999995
9429,9429,1.02,4,5,6,61.1,56.0,4591,166.27841999999998
9431,9431,1.06,4,1,4,62.7,58.0,4591,171.42840000000004
9432,9432,1.14,4,4,4,61.7,56.0,4591,184.841041
9433,9433,1.19,3,1,5,59.3,59.0,4591,197.37206400000002
9434,9434,1.0,1,3,4,57.9,62.0,4592,159.771469
9435,9435,1.0,3,1,6,59.6,58.0,4592,165.61675
9436,9436,1.0,1,3,2,59.5,64.0,4592,157.691128
9439,9439,1.01,3,1,5,62.5,58.0,4592,165.01791599999999
9440,9440,0.9,4,3,3,61.6,56.0,4592,143.345759
9441,9441,0.83,4,4,3,62.3,56.4,4592,134.05396199999998
9442,9442,1.0,4,2,6,63.0,56.0,4592,157.81702800000002
9443,9443,0.9,4,4,4,61.8,56.0,4593,146.986974
9445,9445,0.9,4,4,4,62.4,55.0,4593,147.66044
9447,9447,1.02,1,4,6,63.5,57.0,4594,164.59199999999998
9450,9450,0.76,4,4,0,59.6,58.0,4596,125.8901
9451,9451,1.0,1,3,6,63.8,53.0,4596,161.86381199999997
9452,9452,1.14,3,1,6,60.4,60.0,4596,186.167952
9453,9453,1.2,4,1,4,63.0,57.0,4596,192.32216000000003
9454,9454,1.07,3,4,6,61.7,58.0,4597,177.287572
9457,9457,1.38,1,0,4,63.7,58.0,4598,221.717888
9458,9458,1.05,3,6,4,62.6,62.0,4598,169.535025
9459,9459,0.92,3,5,5,61.2,62.0,4600,148.97770799999998
9462,9462,1.11,4,3,4,60.9,56.0,4600,184.697447
9463,9463,1.01,0,5,4,57.1,59.0,4600,169.50118500000002
9464,9464,0.9,1,2,5,63.5,61.0,4601,145.931016
9466,9466,1.04,3,1,6,60.7,59.0,4601,173.448
9467,9467,1.07,4,0,5,61.6,56.3,4602,174.38458
9468,9468,1.07,1,0,5,61.7,57.7,4602,174.55094999999997
9470,9470,1.06,4,3,6,60.8,54.0,4602,176.87831200000002
9472,9472,1.03,3,3,6,61.1,59.0,4603,170.1336
9473,9473,1.03,4,3,6,62.3,56.0,4603,168.43788000000004
9474,9474,1.03,3,3,6,60.0,60.0,4603,164.91647999999998
9476,9476,1.02,3,3,6,61.9,58.0,4604,165.992379
9477,9477,1.02,1,3,6,63.5,58.0,4604,164.59362
9478,9478,1.05,4,3,4,61.8,58.0,4604,172.53223999999997
9479,9479,1.07,4,3,4,61.0,55.0,4604,178.29315
9480,9480,1.01,4,5,4,59.6,60.0,4604,168.25512
9481,9481,1.02,4,3,5,62.3,54.0,4604,166.04287200000002
9484,9484,1.01,3,6,6,62.8,59.0,4605,163.47246199999998
9487,9487,1.01,1,2,4,64.5,58.0,4606,155.13406799999998
9488,9488,1.11,1,3,6,64.2,58.0,4606,176.178747
9491,9491,1.05,1,3,6,63.1,60.0,4608,169.57980600000002
9492,9492,1.05,3,3,6,61.9,58.0,4608,168.11925000000002
9493,9493,1.05,4,6,4,61.8,57.0,4608,172.79362799999998
9494,9494,1.0,1,4,6,58.1,64.0,4608,165.39071999999996
9495,9495,1.01,1,5,6,64.7,57.0,4608,158.45138999999998
9497,9497,0.91,4,1,1,60.0,57.0,4609,152.01231699999997
9498,9498,1.01,1,3,6,63.7,56.0,4610,163.739376
9499,9499,1.13,3,1,5,62.0,58.0,4611,183.461208
9500,9500,0.93,1,5,6,63.1,57.0,4611,148.94997
9501,9501,0.91,1,5,6,63.6,57.0,4611,145.45877000000002
9502,9502,1.03,4,3,4,61.6,54.0,4611,171.41480999999996
9503,9503,1.09,4,0,6,60.7,58.0,4611,179.19500799999997
9504,9504,1.2,3,0,5,61.8,59.0,4611,194.20128
9505,9505,1.16,0,6,6,65.9,55.0,4612,183.07422
9506,9506,0.9,3,2,6,62.2,60.0,4612,141.85855999999998
9507,9507,1.01,4,1,6,60.2,59.0,4612,166.382832
9508,9508,0.9,3,2,6,62.2,58.0,4612,144.242436
9509,9509,0.9,3,2,6,62.8,59.0,4612,146.847924
9511,9511,1.22,1,0,6,63.8,57.0,4612,195.62591999999998
9512,9512,0.9,4,2,6,62.7,56.0,4612,147.326256
9513,9513,0.9,3,2,6,62.4,61.0,4612,145.236864
9514,9514,1.11,3,4,4,58.9,60.0,4612,182.86968000000002
9515,9515,1.22,4,1,4,61.8,57.0,4612,199.34721000000002
9516,9516,1.07,4,5,4,62.4,57.0,4613,174.24048
9517,9517,1.04,4,5,6,62.0,57.0,4613,169.06109999999998
9519,9519,1.01,3,4,4,62.9,59.0,4616,156.92054399999998
9520,9520,1.01,1,3,6,59.4,60.0,4616,164.260602
9521,9521,1.01,3,4,4,61.7,60.0,4616,160.874928
9524,9524,0.9,1,4,5,64.3,57.0,4617,144.53823300000002
9528,9528,1.01,4,0,5,61.3,56.0,4617,166.70030000000003
9529,9529,1.01,4,0,5,61.1,56.0,4617,167.732103
9530,9530,0.83,4,4,3,61.2,54.0,4617,138.33712100000002
9531,9531,1.17,4,0,6,62.1,57.0,4617,193.236474
9532,9532,1.05,3,6,4,63.0,57.0,4618,168.37916199999998
9534,9534,1.01,1,4,6,62.4,59.0,4619,160.57062
9536,9536,1.01,1,5,6,63.2,59.0,4619,155.43
9538,9538,0.8,4,2,3,62.4,56.0,4619,132.13886400000004
9539,9539,1.13,3,3,4,61.1,59.0,4619,183.04590500000003
9540,9540,1.17,4,0,5,62.1,56.0,4619,193.239
9541,9541,1.0,3,5,4,61.1,58.0,4620,164.83824000000004
9542,9542,1.5,1,1,7,62.6,63.0,4620,235.6163
9543,9543,1.0,1,2,4,63.3,56.0,4620,163.26739
9544,9544,1.0,1,5,4,63.5,56.0,4620,162.238934
9549,9549,1.0,3,5,4,61.7,58.0,4620,159.214518
9550,9550,1.0,3,5,4,61.2,60.0,4620,163.15146
9551,9551,1.26,4,1,4,59.6,57.0,4620,206.77817600000003
9552,9552,1.1,3,1,6,62.0,59.0,4620,175.411302
9555,9555,1.1,3,3,4,62.2,58.0,4620,182.35602
9556,9556,1.1,4,3,4,62.6,56.0,4620,180.87867000000003
9559,9559,1.06,4,3,4,60.6,55.0,4622,176.97245999999998
9560,9560,1.1,3,5,4,60.9,60.0,4622,177.85130400000003
9561,9561,1.0,4,5,4,62.0,57.0,4623,161.693532
9562,9562,0.91,4,5,6,61.9,55.0,4623,147.60806399999998
9563,9563,0.98,3,3,5,59.9,60.0,4623,158.01984000000002
9565,9565,1.1,4,0,4,60.1,57.0,4624,185.25698799999998
9566,9566,1.1,4,1,4,62.6,55.0,4624,179.08506
9567,9567,1.0,1,1,3,59.6,61.0,4624,164.17987200000002
9568,9568,0.9,3,5,5,63.0,58.0,4625,146.134296
9570,9570,1.0,3,2,4,62.2,61.0,4626,157.86792
9572,9572,1.0,3,2,4,58.3,61.0,4626,165.067638
9573,9573,1.0,3,2,4,59.4,60.0,4626,164.50905600000002
9574,9574,1.0,3,2,4,61.6,58.0,4626,162.291675
9576,9576,1.35,0,6,4,66.0,58.0,4627,212.08246799999995
9577,9577,1.08,3,6,4,62.2,56.0,4627,177.07573200000002
9578,9578,1.08,3,6,4,62.3,56.0,4627,176.00087999999997
9579,9579,1.08,3,6,4,62.9,59.0,4627,176.75665200000003
9580,9580,1.08,4,6,4,61.9,57.0,4627,174.71601
9581,9581,1.08,4,6,4,62.2,56.0,4627,176.812336
9585,9585,0.82,4,2,5,61.9,56.0,4628,134.14096800000002
9586,9586,0.95,3,5,6,62.8,59.0,4628,151.756875
9587,9587,1.04,4,3,6,60.3,57.0,4629,170.67203999999998
9588,9588,0.94,3,3,5,60.1,59.0,4629,152.90292
9591,9591,1.06,4,1,6,61.2,56.0,4630,177.48719999999997
9592,9592,1.06,4,1,6,61.2,56.0,4630,177.48719999999997
9593,9593,0.81,4,4,2,62.3,54.0,4630,132.801768
9594,9594,1.04,4,4,4,62.6,57.0,4630,169.27380000000002
9595,9595,1.0,0,6,3,63.1,63.0,4630,160.5208
9596,9596,1.04,4,4,4,61.8,56.0,4630,170.36639399999999
9597,9597,1.21,4,6,4,62.9,57.0,4631,193.92495000000002
9598,9598,1.17,3,3,6,62.6,59.0,4631,191.983836
9599,9599,0.56,4,2,0,60.8,58.0,4632,92.04354
9602,9602,1.01,1,4,6,57.4,57.0,4632,157.59100800000002
9605,9605,1.02,3,6,6,60.8,58.0,4633,165.44060000000002
9606,9606,1.02,3,6,6,62.3,59.0,4633,164.86400000000003
9609,9609,1.02,3,6,6,61.0,59.0,4633,164.42092800000003
9612,9612,1.0,1,0,1,63.5,59.0,4633,159.913186
9613,9613,1.08,4,0,6,62.1,55.0,4633,174.87894600000004
9615,9615,1.01,0,4,6,65.5,57.0,4634,153.78825600000002
9616,9616,1.33,3,6,4,61.3,59.0,4634,209.89168199999997
9617,9617,0.93,4,3,6,62.4,55.0,4635,150.10944
9619,9619,1.28,3,0,4,62.3,58.0,4636,206.08954599999998
9622,9622,0.9,3,6,5,61.7,57.0,4637,144.18377999999998
9625,9625,1.0,1,3,5,63.6,61.0,4637,153.6975
9626,9626,0.92,3,3,2,62.5,58.0,4637,149.38
9627,9627,0.91,3,2,5,62.7,59.0,4637,145.37908000000002
9628,9628,1.15,3,1,6,62.2,56.0,4637,188.75166199999998
9630,9630,1.21,0,6,6,64.5,56.0,4637,189.99466200000003
9631,9631,0.92,3,5,6,61.7,57.0,4637,151.25024000000002
9632,9632,1.01,4,1,6,61.9,59.0,4638,162.200016
9633,9633,1.01,3,3,4,60.3,60.0,4638,164.182073
9634,9634,0.92,4,3,5,60.8,58.0,4639,151.76911199999998
9635,9635,0.97,3,2,6,62.0,60.0,4639,152.925625
9636,9636,1.09,3,3,4,62.5,58.0,4639,177.94450500000002
9638,9638,1.17,1,2,4,57.8,62.0,4639,193.132427
9639,9639,1.18,3,1,4,61.7,58.0,4639,191.57985
9641,9641,1.1,3,2,4,62.4,58.0,4640,178.21782000000002
9645,9645,1.01,1,6,6,62.8,58.0,4641,158.81746800000002
9646,9646,1.12,3,3,4,59.7,60.0,4641,183.342432
9647,9647,1.12,3,3,4,62.0,57.0,4641,181.917776
9648,9648,1.12,3,3,6,61.2,59.0,4641,181.51308
9649,9649,1.12,3,1,6,62.0,56.0,4641,185.73117500000004
9650,9650,1.01,3,3,6,62.5,59.0,4642,162.65314800000002
9651,9651,0.91,4,4,4,62.0,57.0,4642,147.12768
9652,9652,0.91,4,4,4,61.7,56.0,4642,148.801536
9653,9653,0.91,4,4,4,62.0,56.0,4642,148.47140000000002
9654,9654,1.01,3,3,6,62.8,58.0,4642,162.3072
9656,9656,1.01,3,3,6,61.2,58.0,4642,164.328295
9657,9657,1.01,3,3,6,63.0,60.0,4642,161.0352
9658,9658,1.01,1,3,6,60.3,64.0,4642,166.80885
9660,9660,1.01,4,3,6,62.4,53.0,4642,166.98034799999996
9661,9661,1.01,3,3,6,61.8,60.0,4642,166.24893600000001
9664,9664,1.06,4,0,5,62.4,54.0,4643,174.504456
9665,9665,1.35,4,6,7,62.5,57.0,4643,216.64825599999998
9667,9667,1.07,3,4,4,61.8,59.0,4644,173.75350500000002
9668,9668,1.02,4,5,4,62.0,59.0,4645,163.78496
9669,9669,1.11,4,1,6,62.3,56.0,4645,180.28131199999999
9670,9670,1.0,1,5,6,63.9,55.0,4646,160.455256
9671,9671,1.06,4,1,6,62.6,56.0,4646,171.950988
9672,9672,1.01,0,6,6,60.4,62.0,4646,152.82062799999997
9673,9673,1.13,3,6,4,61.5,59.0,4647,185.94788100000002
9675,9675,1.52,0,3,7,69.7,55.0,4648,229.33502799999997
9676,9676,1.52,0,3,7,65.4,62.0,4648,230.27003999999997
9679,9679,1.0,4,3,4,62.0,56.0,4649,162.862898
9680,9680,1.0,4,1,6,62.5,56.0,4649,163.5832
9681,9681,1.0,4,1,6,61.5,57.0,4649,161.885538
9682,9682,1.23,3,0,6,61.9,54.0,4649,201.35060399999998
9685,9685,1.06,3,5,4,60.5,60.0,4652,177.236574
9689,9689,0.36,3,5,6,62.2,59.0,589,58.586943000000005
9691,9691,0.32,4,2,6,62.0,57.0,589,52.300160000000005
9692,9692,0.32,4,1,1,61.9,55.0,589,52.53952
9693,9693,0.32,1,2,6,63.3,57.0,589,53.018907999999996
9695,9695,0.32,3,2,6,61.4,58.0,589,52.270920000000004
9696,9696,0.32,3,2,6,60.9,60.0,589,51.884532
9697,9697,0.32,4,1,1,62.4,55.0,589,51.705024
9698,9698,0.4,1,0,3,63.5,56.0,589,65.68814
9700,9700,0.32,4,2,6,62.7,54.0,589,52.32440999999999
9701,9701,0.32,4,2,6,62.6,55.0,589,52.444696
9702,9702,0.32,4,2,6,60.8,57.0,589,52.671276
9703,9703,0.32,4,2,6,59.3,55.0,589,54.753204000000004
9704,9704,0.32,4,2,6,59.6,57.0,589,52.35710999999999
9705,9705,0.32,4,2,6,60.9,56.0,589,52.43348
9707,9707,0.34,1,4,5,64.3,53.0,589,57.087744000000015
9708,9708,0.31,4,5,5,62.0,56.0,589,51.752328000000006
9713,9713,0.35,4,1,2,62.4,54.0,590,57.613445999999996
9714,9714,0.3,4,3,2,62.2,57.0,590,48.612564
9715,9715,0.3,4,3,2,62.4,56.0,590,49.437424
9716,9716,0.3,4,3,2,62.1,54.0,590,50.55047999999999
9717,9717,0.3,4,3,2,61.5,55.0,590,50.82834400000001
9718,9718,0.3,4,3,2,62.7,53.0,590,50.03856000000001
9720,9720,1.01,4,6,6,61.4,55.0,4653,167.1202
9721,9721,1.01,4,6,6,61.4,57.0,4653,166.1842
9723,9723,1.06,3,5,4,61.7,62.0,4654,170.89019999999996
9724,9724,1.12,3,4,4,61.6,58.0,4654,181.85426999999999
9725,9725,1.14,3,3,6,63.0,57.0,4654,187.13100000000003
9726,9726,1.12,3,4,4,60.5,59.0,4654,186.89950299999998
9727,9727,0.9,1,4,5,60.0,58.0,4655,145.391004
9729,9729,1.26,4,0,4,62.5,53.0,4656,203.5362
9730,9730,1.08,3,5,4,60.8,59.0,4656,174.408534
9732,9732,1.08,1,5,4,63.7,57.0,4656,176.14509
9733,9733,1.0,0,4,5,68.4,58.0,4656,150.40220999999997
9734,9734,1.06,3,4,4,62.0,59.0,4656,173.91578399999997
9736,9736,1.2,3,0,6,61.5,59.0,4657,195.63768
9737,9737,0.9,3,3,2,62.4,58.0,4657,144.15354000000002
9739,9739,1.0,0,4,6,65.8,58.0,4657,155.94001500000002
9740,9740,0.9,4,4,6,61.7,57.0,4657,148.79999999999998
9741,9741,1.2,4,0,4,61.7,56.0,4659,196.385133
9742,9742,1.2,1,0,4,63.3,54.4,4659,194.54803199999998
9744,9744,1.09,3,1,5,61.3,58.0,4659,176.68286999999998
9745,9745,1.04,3,3,6,58.5,62.0,4659,172.28343199999998
9746,9746,1.04,4,1,6,61.3,57.0,4659,171.77556799999996
9747,9747,1.04,4,1,6,61.3,57.0,4659,172.730556
9748,9748,1.19,3,1,4,62.6,58.0,4660,190.39725
9749,9749,1.27,3,0,4,60.4,58.0,4660,208.9472
9752,9752,0.94,3,5,6,60.0,58.0,4661,157.52755200000001
9753,9753,0.94,3,5,6,62.0,58.0,4661,151.804224
9755,9755,0.9,3,6,3,62.7,58.0,4661,142.74027
9759,9759,0.9,4,2,6,61.3,58.0,4661,144.981144
9760,9760,1.11,3,3,4,61.5,59.0,4662,180.86838899999998
9761,9761,1.11,3,3,4,62.9,59.0,4662,177.99721799999998
9762,9762,1.02,3,1,5,59.5,59.0,4662,164.9388
9764,9764,1.02,4,1,5,61.5,57.0,4662,166.60479
9765,9765,1.02,4,4,4,62.4,55.0,4662,166.98195599999997
9766,9766,1.06,4,6,4,61.0,57.0,4662,174.31363199999998
9767,9767,1.02,4,4,4,61.4,56.0,4662,167.3789
9768,9768,1.11,4,3,4,62.7,57.0,4662,181.702116
9769,9769,1.11,3,3,4,61.6,60.0,4662,180.04997999999998
9770,9770,1.11,4,3,4,62.0,54.0,4662,180.389544
9771,9771,1.11,4,3,4,61.3,55.0,4662,183.49345000000002
9772,9772,0.91,4,1,2,60.6,57.0,4663,148.520625
9773,9773,1.12,3,2,4,59.5,59.0,4663,184.977
9774,9774,0.91,3,2,6,62.3,60.0,4663,147.03727500000002
9775,9775,0.91,3,2,6,59.0,61.0,4663,148.98179499999998
9777,9777,1.0,4,1,3,63.1,57.0,4664,161.94304799999998
9781,9781,0.98,4,6,6,62.3,56.0,4665,159.92776800000001
9783,9783,1.0,0,3,6,67.6,59.0,4665,145.307925
9788,9788,1.01,4,5,4,61.2,54.0,4666,168.412904
9789,9789,1.01,3,5,4,61.5,58.0,4666,162.55040000000002
9790,9790,1.01,3,5,4,62.6,59.0,4666,162.15519600000002
9792,9792,1.01,4,5,4,61.1,57.0,4666,167.73091200000002
9793,9793,1.01,1,5,4,63.7,58.0,4666,162.38860800000003
9794,9794,1.24,4,0,4,61.6,57.0,4666,200.697432
9796,9796,0.93,4,6,6,62.2,58.0,4666,149.72256000000002
9797,9797,1.24,3,0,4,62.2,58.0,4666,202.57582400000004
9798,9798,1.05,4,6,4,62.2,54.0,4667,174.07878399999998
9799,9799,1.04,4,4,4,62.1,57.0,4668,168.280416
9802,9802,0.9,1,6,2,62.6,58.0,4668,143.21519
9805,9805,1.01,4,5,4,61.6,58.0,4668,167.28075
9806,9806,1.16,4,1,6,61.7,56.0,4668,187.9618
9808,9808,1.21,1,4,4,63.7,64.0,4669,189.634575
9809,9809,1.21,3,1,5,61.6,61.0,4669,196.38808
9810,9810,1.11,3,6,4,61.5,58.0,4670,179.60976
9811,9811,0.91,3,3,3,61.0,59.0,4670,146.38875
9812,9812,0.91,3,3,3,61.8,54.0,4670,154.146696
9814,9814,1.09,4,6,4,61.2,57.0,4670,180.253788
9815,9815,1.09,4,6,4,62.1,56.0,4670,180.824328
9816,9816,1.03,1,2,4,59.3,58.0,4671,169.802307
9817,9817,1.01,3,2,4,58.8,59.0,4672,166.36213999999998
9818,9818,1.01,3,6,6,61.2,61.0,4672,163.402438
9819,9819,1.01,1,6,6,60.7,59.0,4672,157.2768
9820,9820,1.01,3,6,6,61.0,62.0,4672,163.23648
9822,9822,1.01,3,2,4,62.8,59.0,4672,163.72669599999998
9824,9824,1.01,1,6,6,63.9,57.0,4672,162.53055
9825,9825,1.01,3,6,6,62.9,61.0,4672,163.22304000000003
9826,9826,1.01,3,2,4,62.2,60.0,4672,164.19648
9827,9827,1.01,1,6,6,63.6,57.0,4672,162.901284
9828,9828,1.01,3,6,6,62.5,60.0,4672,161.240148
9829,9829,1.01,3,2,4,61.8,60.0,4672,161.28521500000002
9830,9830,1.01,4,6,6,62.9,54.0,4672,167.96443499999998
9831,9831,1.01,3,2,4,60.3,57.0,4672,168.26006399999997
9832,9832,1.01,3,6,6,59.6,61.0,4672,163.253628
